group_id	summ
#NAME3	This place is amazing. I ordered the chicken shawarma wrap and it was delicious! Definitely will be back for more. If you're looking for a quick bite                                                                                                                                                             ,this is the place.
2JsLzYF8rUalwpm5LDEcog	This place has the best seafood I've ever had. Service is prompt and friendly. The only reason I'm giving it 5 stars is because of their prices.
6C_8Mh4lmLc_QEs3hHleBg	This is a great place to eat if you are in the mood for authentic Mexican food. You can't beat the price                                                                                                                                                                                          ,and the staff is very friendly. If you're in the area                                                                                                                                                                ,this is your place to go.
5VXsbrqyJx0a4iaa43RNFA	This is the best breakfast place I've ever been to. The service is great and the food is delicious. We had the French toast                                                                                                                                                                       ,which was very good. We will definitely be back. If you're in the mood for breakfast                                                                                                                                 ,this is your place.
5iHctUjkQTGwEvOaBkwMRQ	This place is awesome! I had the breakfast burrito and it was delicious. The only reason I could give them 5 stars is because it's a little pricey for what you get. The staff is very friendly and helpful. I will definitely be back!
87YsVbCN_kfzheY79Fzjkg	This place is awesome! I had the pleasure of doing my daughter's birthday cake and she did a great job. She was very friendly and made sure we were taken care of. The only reason I'm giving this place 5 stars is because of the price.
3m2XZFVraCiqjgLxHi5MdA	This place is a hidden gem! The food is great and the service is fantastic. Only thing I would say is that it may be pricey                                                                                                                                                                       ,but it's worth the money. It's a must try if you're in the area.
7w99ECXyIR32SKLyMKOLaw	First time using red truck. Did a great job on my handyman                                                                                                                                                                                                                                        ,and was very pleased with the results. I would highly recommend red truck to anyone who is looking for a new home in the area.
5mJlO3oCw_4vvbq1qM6OEg	This place is the best sandwich I've ever had. It's a little pricey                                                                                                                                                                                                                               ,but you get what you pay for. Everything is fresh and delicious. I had the turkey club sandwich and it was delicious! I will definitely be back to try more of the menu.
-1UMR00eXtwaeh59pEiDjA	This place is awesome! I have been here several times now and have never had a bad meal. The staff is friendly and the food is delicious. I had the eggs Benedict and it was delicious. My only complaint is that it's hard to find parking in the airport.
65GMvjjrsvyR9pxxAys7qg	This place has a great selection of guns and accessories. The only reason I'm giving 4 stars is because of the lack of organization in the store. I bought a Groupon for my son's birthday and it was a huge waste of money. We will be back.
0NgePUfXd2TG0kWgsQRq0A	If you are looking for a healthy meal then this is the place to go. The staff is very friendly and helpful. I love the fact that you can customize your order                                                                                                                                     ,and you can't beat the price. It's a little pricey for what you get!
#NAME1	This Target is the best! I've been shopping here for almost 10 years                                                                                                                                                                                                                                              ,and it's always clean. The staff is very friendly and helpful. If you're looking for a quick checkout                                                                                                                ,this is the place to go!
5EIuCcoHY2evAhFMBV6G6g	Came here for lunch on a Friday night. The waiter was very friendly and attentive                                                                                                                                                                                                                 ,and the food was very good. I had the French onion soup                                                                                                                                                              ,which was fantastic. I would definitely come back here again.
82YGtjc5KKikNiqBZ33qzw	This place is awesome! The food is great                                                                                                                                                                                                                                                          ,and the staff is extremely friendly. If you're looking for a great meal                                                                                                                                              ,this is the place to go. They also have some of the best fried oysters in Vegas!
4uZkUUbl6dr_bjmS2QNnbA	This place is amazing! I've been going to this place for years and everyone is super friendly. My nails look amazing and I will definitely be back. I love this place!
0GVu1xLqxbUQLfSCp25OGQ	This place has the best boba tea I've ever had in my life. I'm not sure what to expect                                                                                                                                                                                                            ,but the service is top notch and the drinks are delicious. I wish they had more locations in the valley                                                                                                              ,so I'll definitely be back.
#NAME2	This is the best BBQ I've ever had. The pulled pork sandwich was delicious                                                                                                                                                                                                                                        ,and the sides were fantastic. The only reason I'm giving 4 stars is because of how small it is. I would not recommend this place if you're looking for a good BBQ joint.
2jqUYcKMYZXnpxNTkORJgQ	This place is a hidden gem in the heart of Pittsburgh. I have been here twice now and both times the food was delicious. I had the corned beef hash and it was fantastic. The staff was friendly and attentive. Will definitely be back!
7v91woy8IpLrqXsRvxj_vw	Service was good                                                                                                                                                                                                                                                                                  ,food came out quickly and the waiter was very friendly. Had a great time at this place. The food was good and the portions were generous. Would definitely come back again!
86stmK3Vm2f5W6PdyvuLrQ	Food was okay                                                                                                                                                                                                                                                                                     ,but the service was terrible. I had to ask for a refill on my drink. Never had a problem with them. It's hard to find a place that serves good food.
#NAME4	This place is the best BBQ in the area. I have been here a few times now                                                                                                                                                                                                                                          ,and the food is consistently good. The only reason I didn't give it 5 stars is because I had to wait long for my food to be served. The service was ok                                                               ,but the food was good.
1e6Xtmd4BetTnsoRCK3J5g	If you're in the mood for a quick bite                                                                                                                                                                                                                                                            ,this is the place to get your caffeine fix. I've been here several times and each time I have had a good experience.
0M2Us97NRafGL6Tojx2gbw	If you're looking for a low key atmosphere                                                                                                                                                                                                                                                        ,this is the place to go. The bartenders are friendly and the drinks are good. I just wish there were more places in the area.
7gjYJ6leqm2IMJXNpKvIlw	Worst sandwich I've ever had in a long time. Every time I'm in the mood                                                                                                                                                                                                                           ,I'm not sure what to expect from a sandwich shop. The Bobbie is a must try                                                                                                                                           ,especially if you haven't been here before. It's a little pricy but worth it.
57_msr8gjNakjGO-1f6B_g	This place is the best pho I've ever had. It's a bit pricier than the other pho places                                                                                                                                                                                                            ,but the quality of the food is great. I ordered the pad Thai and it was delicious. The service was quick and friendly. If you're looking for a quick bite                                                            ,this is the place.
82hYL5WPQpvxg8ekDsB83A	This place is the worst restaurant I've ever been to. The food was mediocre at best. It was a little pricey for what you get as well. The waiter was very friendly and attentive. I will definitely be back!
5vAe61D-AAjGZBFA4Ep8mQ	This place is awesome! I took my bridesmaid dress in for alterations and it did exactly what I wanted. They did a great job on my dress and the price was very reasonable. I would highly recommend them to anyone!
5ID843Ti7L0aa7BQIeXNaw	This is a great place to get your nails done. I've been coming here for years and have never had a problem with my mani / pedi. The salon is very clean and the staff is friendly. I would recommend this place to anyone who is looking for a quick mani or pedi.
